yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017488P	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017444B	Entry	Entry name	Status	Protein names	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (REBASE)	Cross-reference (eggNOG)	Cross-reference (KO)	Cross-reference (OrthoDB)	Cross-reference (Pfam)	Cross-reference (KEGG)	Taxonomic lineage (CLASS)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (ORDER)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)	Protein families
arCOG00108		Q0W920	Q0W920_METAR	unreviewed	Putative type III restriction-modification system, methylation subunit (EC 2.1.1.72)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]			DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003677; GO:0008170; GO:0009007	13563;	arCOG00108;COG2189;	K07316;	POG093Z00TW;	PF01555;	rci:LRC82;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella arvoryzae	
arCOG00108		Q2FNN1	Q2FNN1_METHJ	unreviewed	Uncharacterized protein							arCOG00108;COG2189;				mhu:Mhun_1362;	Methanomicrobia	Methanospirillaceae	Methanospirillum		Methanomicrobiales	Euryarchaeota	Methanospirillum hungatei	
arCOG00108		Q2NH31	Q2NH31_METST	unreviewed	Uncharacterized protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	11801;	arCOG00108;COG2189;		POG093Z00NC;	PF01555;	mst:Msp_0472;	Methanobacteria	Methanobacteriaceae	Methanosphaera		Methanobacteriales	Euryarchaeota	Methanosphaera stadtmanae	
arCOG00108		Q2NH33	Q2NH33_METST	unreviewed	Uncharacterized protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	11801;	arCOG00108;COG2189;		POG093Z00NC;	PF01555;	mst:Msp_0470;	Methanobacteria	Methanobacteriaceae	Methanosphaera		Methanobacteriales	Euryarchaeota	Methanosphaera stadtmanae	
arCOG00108		Q8Q0E4	Q8Q0E4_METMA	unreviewed	Type III restriction-modification system methylation subunit (EC 2.1.1.72)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]			DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003677; GO:0008170; GO:0009007	6256;	arCOG00108;COG2189;	K07316;	POG093Z00KT;	PF01555;	mma:MM_0193;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG00108		Q978B5	Q978B5_THEVO	unreviewed	DNA adenine modification methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170		arCOG00108;COG2189;		POG093Z02GK;	PF01555;	tvo:TVG1555627;	Thermoplasmata	Thermoplasmataceae	Thermoplasma		Thermoplasmatales	Euryarchaeota	Thermoplasma volcanium	
arCOG00108		Q978C7	Q978C7_THEVO	unreviewed	Modification methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	6614;	arCOG00108;COG2189;	K07316;	POG093Z02N3;	PF01555;	tvo:TVG1542167;	Thermoplasmata	Thermoplasmataceae	Thermoplasma		Thermoplasmatales	Euryarchaeota	Thermoplasma volcanium	
arCOG00108		Q97CH4	Q97CH4_THEVO	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	6348;	arCOG00108;COG2189;		POG093Z02GK;	PF01555;	tvo:TVG0134727;	Thermoplasmata	Thermoplasmataceae	Thermoplasma		Thermoplasmatales	Euryarchaeota	Thermoplasma volcanium	N(4)/N(6)-methyltransferase family
arCOG00108		Q97CH5	Q97CH5_THEVO	unreviewed	Modification methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	6348;	arCOG00108;COG2189;		POG093Z00NC;	PF01555;	tvo:TVG0133675;	Thermoplasmata	Thermoplasmataceae	Thermoplasma		Thermoplasmatales	Euryarchaeota	Thermoplasma volcanium	
arCOG00108		S0ATF2	S0ATF2_FERAC	unreviewed	Uncharacterized protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	66028;	arCOG00108;COG2189;	K07316;	POG093Z02N3;	PF01555;	fac:FACI_IFERC01G1390;	Thermoplasmata	Ferroplasmaceae	Ferroplasma		Thermoplasmatales	Euryarchaeota	Ferroplasma acidarmanus	
arCOG00115		A0A384KHK8	A0A384KHK8_HALVD	unreviewed	CTAG modification methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	25104;	arCOG00115;COG0863;			PF01555;	hvo:HVO_0794;	Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG00115		A2SRI3	A2SRI3_METLZ	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	14705;	arCOG00115;COG0863;	K00571;	POG093Z05L7;	PF01555;	mla:Mlab_0768;	Methanomicrobia	Methanocorpusculaceae	Methanocorpusculum		Methanomicrobiales	Euryarchaeota	Methanocorpusculum labreanum	N(4)/N(6)-methyltransferase family
arCOG00115		A3CSV1	A3CSV1_METMJ	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	14783;	arCOG00115;COG0863;	K00571;	POG093Z0FL4;	PF01555;	mem:Memar_0518;	Methanomicrobia	Methanomicrobiaceae	Methanoculleus		Methanomicrobiales	Euryarchaeota	Methanoculleus marisnigri	N(4)/N(6)-methyltransferase family
arCOG00115		A3CW05	A3CW05_METMJ	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	14791;	arCOG00115;COG0863;	K00571;	POG093Z05L7;	PF01555;	mem:Memar_1626;	Methanomicrobia	Methanomicrobiaceae	Methanoculleus		Methanomicrobiales	Euryarchaeota	Methanoculleus marisnigri	N(4)/N(6)-methyltransferase family
arCOG00115		A6UTG2	A6UTG2_META3	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	15428;	arCOG00115;COG0863;		POG093Z0899;	PF01555;PF00565;	mae:Maeo_0192;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus aeolicus	N(4)/N(6)-methyltransferase family
arCOG00115		A6VF82	A6VF82_METM7	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	15717;	arCOG00115;COG0863;	K00571;	POG093Z05L7;	PF01555;	mmz:MmarC7_0037;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	N(4)/N(6)-methyltransferase family
arCOG00115		A7I4Z4	A7I4Z4_METB6	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	15908;	arCOG00115;COG0863;	K00571;	POG093Z0899;	PF01555;	mbn:Mboo_0283;	Methanomicrobia	Methanoregulaceae	Methanoregula		Methanomicrobiales	Euryarchaeota	Methanoregula boonei	N(4)/N(6)-methyltransferase family
arCOG00115		A7I5H6	A7I5H6_METB6	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	15909;	arCOG00115;COG0863;	K00571;	POG093Z0A1V;	PF01555;	mbn:Mboo_0469;	Methanomicrobia	Methanoregulaceae	Methanoregula		Methanomicrobiales	Euryarchaeota	Methanoregula boonei	N(4)/N(6)-methyltransferase family
arCOG00115		A7I5L2	A7I5L2_METB6	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	15912;	arCOG00115;COG0863;	K00571;	POG093Z0FL4;	PF01555;	mbn:Mboo_0505;	Methanomicrobia	Methanoregulaceae	Methanoregula		Methanomicrobiales	Euryarchaeota	Methanoregula boonei	N(4)/N(6)-methyltransferase family
arCOG00115		A7IAU0	A7IAU0_METB6	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	15910;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	mbn:Mboo_2337;	Methanomicrobia	Methanoregulaceae	Methanoregula		Methanomicrobiales	Euryarchaeota	Methanoregula boonei	N(4)/N(6)-methyltransferase family
arCOG00115		A9A2H6	A9A2H6_NITMS	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	16736;	arCOG00115;COG0863;	K00571;		PF01555;	nmr:Nmar_1319;		Nitrosopumilaceae	Nitrosopumilus		Nitrosopumilales	Thaumarchaeota	Nitrosopumilus maritimus	N(4)/N(6)-methyltransferase family
arCOG00115		A9A7Y9	A9A7Y9_METM6	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	16500;	arCOG00115;COG0863;		POG093Z05L7;	PF01555;	mmx:MmarC6_0019;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	N(4)/N(6)-methyltransferase family
arCOG00115		B0FYA5	B0FYA5_9EURY	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	3893;	arCOG00115;COG0863;			PF01555;		Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus jannaschii	N(4)/N(6)-methyltransferase family
arCOG00115		B1L4P0	B1L4P0_KORCO	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]			DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0015667	17359;	arCOG00115;COG0863;		POG093Z01W4;	PF01555;	kcr:Kcr_0667;			Candidatus Korarchaeum			Candidatus Korarchaeota	Candidatus Korarchaeum cryptofilum	
arCOG00115		B5IH98	B5IH98_ACIB4	unreviewed	DNA methylase N-4/N-6 domain protein (DNA methylase domain protein)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]			DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0015667	24509;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	abi:Aboo_1055;			Aciduliprofundum			Euryarchaeota	Aciduliprofundum boonei	
arCOG00115		B8D603	B8D603_DESA1	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]; iron-sulfur cluster assembly [GO:0016226]	DNA restriction-modification system [GO:0009307]; iron-sulfur cluster assembly [GO:0016226]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667; GO:0016226	19601;	arCOG00115;arCOG01715;COG0719;		POG093Z039H;	PF01555;PF01458;	dka:DKAM_1208;	Thermoprotei	Desulfurococcaceae	Desulfurococcus		Desulfurococcales	Crenarchaeota	Desulfurococcus amylolyticus	N(4)/N(6)-methyltransferase family
arCOG00115		B8GGM2	B8GGM2_METPE	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	19801;	arCOG00115;COG0863;	K00571;	POG093Z0FL4;	PF01555;	mpl:Mpal_0925;	Methanomicrobia	Methanoregulaceae	Methanosphaerula		Methanomicrobiales	Euryarchaeota	Methanosphaerula palustris	
arCOG00115		B8GHT0	B8GHT0_METPE	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	19800;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	mpl:Mpal_0004;	Methanomicrobia	Methanoregulaceae	Methanosphaerula		Methanomicrobiales	Euryarchaeota	Methanosphaerula palustris	N(4)/N(6)-methyltransferase family
arCOG00115		C7NMP8	C7NMP8_HALUD	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	21688;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	hut:Huta_1185;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus utahensis	N(4)/N(6)-methyltransferase family
arCOG00115		C7P1P7	C7P1P7_HALMD	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	21934;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	hmu:Hmuk_3032;	Halobacteria	Haloarculaceae	Halomicrobium		Halobacteriales	Euryarchaeota	Halomicrobium mukohataei	N(4)/N(6)-methyltransferase family
arCOG00115		C7P832	C7P832_METFA	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	21672;	arCOG00115;COG0863;	K00571;	POG093Z05L7;	PF01555;	mfe:Mefer_0896;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus fervens	N(4)/N(6)-methyltransferase family
